Datetime,Open,High,Low,Close,Volume,OI,Date,Time
2025-02-27 15:01:00+05:30,1317.0,1317.9,1314.25,1317.7,13021,0,2025-02-27,15:01:00
2025-02-27 15:02:00+05:30,1317.6,1318.45,1317.05,1317.6,8732,0,2025-02-27,15:02:00
2025-02-27 15:03:00+05:30,1317.6,1318.05,1315.8,1316.85,10209,0,2025-02-27,15:03:00
2025-02-27 15:04:00+05:30,1316.85,1316.85,1314.9,1314.95,9501,0,2025-02-27,15:04:00
2025-02-27 15:05:00+05:30,1314.85,1315.9,1313.55,1314.3,8236,0,2025-02-27,15:05:00
2025-02-27 15:06:00+05:30,1314.3,1314.35,1311.05,1311.95,7864,0,2025-02-27,15:06:00
2025-02-27 15:07:00+05:30,1311.95,1313.5,1311.05,1313.5,6793,0,2025-02-27,15:07:00
2025-02-27 15:08:00+05:30,1312.05,1313.45,1311.45,1312.0,12290,0,2025-02-27,15:08:00
2025-02-27 15:09:00+05:30,1312.0,1314.0,1310.7,1313.8,10452,0,2025-02-27,15:09:00
2025-02-27 15:10:00+05:30,1313.35,1313.95,1311.5,1312.9,6687,0,2025-02-27,15:10:00
2025-02-27 15:11:00+05:30,1312.9,1313.85,1312.65,1313.85,7823,0,2025-02-27,15:11:00
2025-02-27 15:12:00+05:30,1313.7,1314.5,1313.15,1314.3,10578,0,2025-02-27,15:12:00
2025-02-27 15:13:00+05:30,1314.3,1315.5,1314.3,1315.4,8344,0,2025-02-27,15:13:00
2025-02-27 15:14:00+05:30,1315.45,1316.55,1315.1,1316.2,9608,0,2025-02-27,15:14:00
2025-02-27 15:15:00+05:30,1316.35,1316.45,1313.05,1313.05,8104,0,2025-02-27,15:15:00
2025-02-27 15:16:00+05:30,1313.2,1313.7,1311.4,1312.25,5733,0,2025-02-27,15:16:00
2025-02-27 15:17:00+05:30,1312.15,1313.75,1308.65,1310.3,13660,0,2025-02-27,15:17:00
2025-02-27 15:18:00+05:30,1310.3,1310.3,1308.1,1309.7,8829,0,2025-02-27,15:18:00
2025-02-27 15:19:00+05:30,1309.7,1311.8,1309.1,1310.8,9983,0,2025-02-27,15:19:00
2025-02-27 15:20:00+05:30,1310.95,1311.55,1308.0,1308.25,18694,0,2025-02-27,15:20:00
2025-02-27 15:21:00+05:30,1308.25,1310.55,1306.65,1309.35,13687,0,2025-02-27,15:21:00
2025-02-27 15:22:00+05:30,1309.35,1312.6,1308.25,1311.4,8560,0,2025-02-27,15:22:00
2025-02-27 15:23:00+05:30,1311.85,1311.9,1309.5,1309.5,7629,0,2025-02-27,15:23:00
2025-02-27 15:24:00+05:30,1309.5,1312.1,1309.1,1309.7,8733,0,2025-02-27,15:24:00
2025-02-27 15:25:00+05:30,1309.7,1311.5,1309.7,1310.6,5478,0,2025-02-27,15:25:00
2025-02-27 15:26:00+05:30,1310.6,1311.2,1308.55,1309.6,5189,0,2025-02-27,15:26:00
2025-02-27 15:27:00+05:30,1309.75,1311.75,1309.75,1310.8,12039,0,2025-02-27,15:27:00
2025-02-27 15:28:00+05:30,1310.8,1311.25,1310.0,1310.95,3817,0,2025-02-27,15:28:00
2025-02-27 15:29:00+05:30,1310.95,1311.0,1307.0,1310.45,2668,0,2025-02-27,15:29:00
2025-02-28 09:15:00+05:30,1310.0,1310.0,1290.0,1291.6,43467,0,2025-02-28,09:15:00
2025-02-28 09:16:00+05:30,1292.1,1297.45,1291.5,1292.45,16036,0,2025-02-28,09:16:00
2025-02-28 09:17:00+05:30,1292.85,1296.8,1292.0,1295.3,11006,0,2025-02-28,09:17:00
2025-02-28 09:18:00+05:30,1294.85,1295.9,1292.1,1294.35,12933,0,2025-02-28,09:18:00
2025-02-28 09:19:00+05:30,1294.5,1294.7,1285.25,1287.45,19657,0,2025-02-28,09:19:00
2025-02-28 09:20:00+05:30,1287.6,1290.0,1286.75,1288.35,18287,0,2025-02-28,09:20:00
2025-02-28 09:21:00+05:30,1288.75,1296.2,1287.0,1296.1,10850,0,2025-02-28,09:21:00
2025-02-28 09:22:00+05:30,1296.1,1299.75,1296.1,1297.95,13893,0,2025-02-28,09:22:00
2025-02-28 09:23:00+05:30,1295.6,1298.1,1293.5,1293.8,10178,0,2025-02-28,09:23:00
2025-02-28 09:24:00+05:30,1294.1,1294.3,1287.0,1289.1,12164,0,2025-02-28,09:24:00
2025-02-28 09:25:00+05:30,1289.1,1289.65,1285.0,1285.75,14042,0,2025-02-28,09:25:00
2025-02-28 09:26:00+05:30,1285.7,1288.9,1285.25,1286.8,3322,0,2025-02-28,09:26:00
2025-02-28 09:27:00+05:30,1286.95,1290.45,1285.6,1290.1,8645,0,2025-02-28,09:27:00
